economy,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.4636209813875,88.7044534412956,86.2509117432531,83.629654478363,84.6303501945525,70.6868685663848,69.3943248480407,68.6664578409317,70.0630780331023,67.7653712810757,76.9749819561498,76.4484740814733,74.9110469524375,73.5808547588983,74.6380124647528,75.2464685871092,84.6867741066482,83.5416514017811,85.3429686877605,84.6065584238676,72.9807504481858,70.4193283773103,71.2556056890066,72.9607783956333,72.1089811926666,68.8355644399277,70.8303783212249,77.3346519395464,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3921370247726,20.0429395248113,21.6839234297131,21.6392618127246,24.4482651358615,26.3267202525581,26.9164849670339,26.4255503961667,27.624305354681,26.0792234597682,26.2852047415974,26.9549155964851,28.0559249913833,26.5927825127184,27.2447924762952,28.3219436358109,29.5430939655088,31.8138305569139,36.0642929415696,31.7132336988223,30.1576261214974,32.3073798221782,33.349054282298,34.1920699315582,33.0678370052741,30.9115756099982,28.4444071856538,27.5575617967657,28.5513254436494,26.7628802655437,24.2728469082963,26.386120462204,29.9812007452149,28.2484895260822
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2890774127896,37.06956357719,54.5054272070161,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2167466955221,49.5798907399883,45.1995887314867,41.0646943598961,31.1572958281252,40.1542845215112,48.8896796542348,63.6888438415367,42.5805194236924,39.3125588161519,35.8599667074303,36.0648469678372,34.6378933219044,33.1339181383385,25.2456726203982,23.2527202247958,25.541723496358,17.0387830650203,27.6274881894828,26.7192226161787,25.2994284109634,26.6614759891773
ALB,,,,,,,,,,,,,,,,,,,,,23.5366005935177,22.2899596239822,24.7376437022741,21.558592462639,20.075351594758,19.1144514025886,16.0311247475208,16.1296420781227,19.9184766016104,21.4727330022325,24.0318995737727,28.5857013386048,96.2858807479086,64.5395029570264,41.1188903879182,34.9697653759195,33.27511148197,35.2284289698301,36.6703685610943,34.1692673931568,43.3387875873655,45.1576132001299,47.5794520503068,46.1731745895907,44.8296265467915,47.85935562815,49.0574825118736,54.9542146887506,52.1493333802176,49.8541657924919,48.5639550032469,51.9770317939697,47.572712860263,46.9573987095321,47.19484413802,44.5336151883802,45.8319636476989,46.6244512220264,45.2362297135284,44.9749247621036,37.1719398177669,44.7088213484193,47.7542583145142,44.9148946762443
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4045649541256,38.5687999785369,38.2100440472806,37.4872938065977,33.2208739916781,33.9632282290381,32.404422575612,32.2451279609427,33.5718442683033,31.4469886744212,30.0435376153688,30.9020317345276,31.8200528771103,32.6952561964074,35.2646162437714,35.25164545639,35.1597236908443,39.5402350021319,40.3486849341416,41.8742755489307,36.8331631079038,35.4004101685253,36.1194883394739,37.2958074742151,38.6187774792181,40.9410606479139,38.637632979344,39.6305547181964,37.0788914764415,37.8056358813628,35.5489684984667,35.3046348099835,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7053546013305,43.5683114306968,46.3769702756087,53.0548827099662,51.9675602523703,50.8428719062721,64.4140553654625,69.6456553241827,73.8086264961866,59.499423452049,59.8540595720978,62.3355072418794,63.0928963679193,67.1057131201116,71.9130486276005,73.2399666737917,74.4610327833186,65.925796265564,70.7193961702784,70.6453007391305,,,
ARG,7.60404697912324,5.99494531619397,9.38368289056535,7.89045203275027,5.56371407476368,4.15058297228058,4.98968803354159,4.99706414666865,5.40371142251908,6.3987133165299,4.73587740491927,6.60795603425504,6.837877358188,5.70950079036544,6.28900906002225,5.97867249611964,5.92149632785012,7.32639415522164,5.71540643432211,6.32976917437938,6.48369977956918,7.37192799857345,6.52099302139343,5.83614942003836,4.75648611743286,6.27332704995287,6.32405524784407,7.57576406955165,6.21184563577101,6.57938879331971,4.63132240741775,6.07801081056698,8.13279311431564,9.31379991407563,10.6043971410814,10.0910128307854,11.0778716497076,12.7753287418177,12.934446011977,11.5555704475475,11.6360695451767,10.2732473690136,13.370127359396,14.7138051046861,16.8450266849578,17.3053942367662,17.4067852681036,18.2824203070644,18.341772996414,14.4961418494061,16.0371898581987,16.7569458546489,14.2886829096862,14.7167556136651,14.0013150558519,11.7805740385254,13.5667926798789,13.9693177780045,16.3258502050892,14.7057366680037,13.5982843701675,14.9334363103503,15.3509522986127,14.0523919218016
