economy,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363802057.62078,1522193651.90918,1648463551.39372,1810857555.71355,2001255995.43253,2095259749.36622,2158919231.52576,2350908521.45757,2424685609.62548,2489440705.3788,2739898103.35839,2918754740.49044,2936102553.44095,3027319748.04592,3335469123.9986,3426871110.38706,3572376596.66142,3782521886.26849,3926175809.09413,3489075178.01763,3434946033.90831,3623931877.15193,3549697827.01878,3793907213.86807,3808447873.65563,3881688126.57656,3926948315.28476,4080273098.09897,4278670721.5542,4270959490.77485,3244149230.19381,4072498933.12607,4815148278.16456,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562772560244.511,582653598862.641,584529648529.234,597628001857.636,621423707350.742,662830201636.349,712224381401.289,755849960766.765,778661131308.095,812281659167.13,859710265945.922,911596143466.47,962388869963.993,1013878936780.16,1099997025766.39,1205178327722.38,1325213354523.66,1452342831273.38,1547759297405.53,1569520093902.18,1670274851897.1,1772764230779.2,1774266204133.24,1895136866526.82,2027512439114.6,2101407500699.43,2216395889054.88,2303595248157.43,2401104042801.45,2524526349173.48,2512221572961.28,2788991812441.27,3095387336977.24,3296248713982.25
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16377032684.7311,15166333855.4022,19806995164.3363,21981995255.6761,22892320780.3777,26261445894.2876,28521625036.823,33344679966.3334,35321124704.8351,43140953896.2127,49936634725.0092,51184181904.4289,60766467131.1993,67458857272.9888,72946664022.0665,77274315044.0326,76798750471.4042,83362066704.4832,89369237677.5116,97800733345.013,100094011602.726,85767546197.7544,86077580286.4421,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360074777901.323,376704288587.542,394563754120.382,399312283838.24,407461135797.514,424840035584.801,452937203348.017,481634807548.005,505109819614.071,520948896501.113,552593595665.777,594580476587.681,660496551619.9,710610271976.536,787297804045.47,859144759426.825,932669064397.717,1009729062705.22,1093989031473.55,1167545972751.07,1262885634363.23,1352542723629.34,1434392030870.71,1537666631732.59,1663206191502.83,1688192156799.3,1709670153506.23,1784650207063.85,1891158918025.5,2055776387601.46,2099434439091.7,2274399655539.19,2528204855757.66,2709824743173.62
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38839000563.364,40550517457.1324,39053200831.9435,30390584820.8692,31455215608.227,36931943525.4287,42701857933.6702,46598046522.4368,49332296061.9181,51121804409.3445,53876764896.3585,57406983085.6472,66266055980.3041,69594829726.1744,79291855044.371,94069250792.273,108170250181.419,126666092621.188,143527785548.898,145654989374.478,153909425849.431,162538811659.181,185178296910.381,197839278641.871,217021998765.783,200475818990.044,199721223732.138,211424030475.15,229965233516.952,243736138717.595,215784887951.053,255820605533.992,282172319183.569,294960925634.98
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8378238405.90978,6236148226.77799,5919848271.89921,6639484304.67537,7344288648.5298,8497220758.9382,9440188239.08572,8554335553.53901,9451398505.47114,10792644445.7997,11927686423.0498,13161302532.6684,14497854111.0564,15199019491.4146,16429609078.8174,17663089820.3388,19650531647.2913,21636239253.1432,24250888303.5661,25799067806.6598,28042676993.9081,29653818894.9252,30528816165.9126,30602337894.01,32526853960.3919,33583367364.4611,34738551132.213,36693363687.5896,38688191524.4182,41721950128.2607,40968564646.4314,45722762963.6554,54144889192.2815,58750963483.224
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310131885.09636,1388922114.78819,1433773796.35271,1452619188.88395,1518993228.4719,1593606271.83478,1698236547.27668,1884167759.8116,1966215054.59688,2075776156.15358,2197696491.55711,2429638530.98964,2579571697.22352,2859201638.05067,3174958697.62997,3451259350.71905,3728768817.98411,3889274660.21889,3743831887.48357,3567168968.07737,3539214038.02227,3611940399.98968,3496180919.85932,3429540494.92868,3576657555.1812,3661620791.68288,3833543204.97852,3915698820.58319,4152298789.83756,4395348448.44156,4031176207.5678,4649558370.59444,5452918966.4392,5733298240.48091
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542809202907.59,1691372192302.77,1834683271290.93,1923659243959.47,2019336333435.86,2112207142305.74,2246980666676.97,2395957148745.97,2549798977326.03,2639106709155.47,2880898875552.15,2995077541044.84,3053344841281.28,3242789698880.27,3634882709828.83,3949786525278.39,4310917739985.63,4618846385102.11,4970746398374.44,5019741803015.09,5324417243254.24,5645508085837.68,6096316085059.75,6216033152403.28,6264668549978.48,5803108296243.62,5744427689237.95,6117468684921.49,6676069124862.6,6864867000236.98,6430600720327.91,7140056642494.97,8085849179053.09,8478046470342.97
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165048348642.919,172097529997.304,181907133308.335,188567499467.701,205875343578.143,224249304371.837,241595714083.873,265890786295.804,269664153030.996,281417144044.456,319024983518.164,330772370331.819,344086842257.912,381759554535.021,429528265209.022,464504006605.427,525932447575.822,557382797823.193,586255468606.451,558944883529.468,574805592705.885,623132238927.049,645566759660.909,657868026081.152,687052388186.095,609998221091.021,604925118660.42,627578031229.294,701667873659.965,726238678138.084,614384479773.466,645375981350.196,745049100215.377,798490897661.115
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234476844267.811,264545654103.017,292050532467.766,323509736780.189,349701129024.899,346874927357.191,372747062321.258,409929944194.559,430497422057.736,421808836966.959,427960175929.515,418303583382.2,378523791536.162,420107758522.018,470358838998.299,528046724341.377,588133949202.995,658480356255.634,698398185501.633,661115953565.387,736904550743.655,797263881242.037,819219854484.205,848625298160.51,838428063163.02,865155580188.784,882649216798.351,1035699067575.93,1090043170151.08,1057633159930.82,1011999397129.76,1195003729129.62,1342543373159.5,1369904111827.83
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9804759536.41139,8950386613.06963,5327833129.09799,4974157579.6862,5354705603.37167,5844198432.70307,6300253203.4099,6621742394.40087,7184981697.43064,7527115894.04576,8151779326.31557,9135524002.77863,10502118179.3621,12208787869.0589,13853487621.367,16273869612.9388,18990125433.9675,22176749550.7917,24163709283.7422,20884649142.5377,21603503567.2143,23085520248.3701,27043423649.5481,28572642912.7207,29343064966.5336,29315404012.9832,31629425029.462,35949453239.3726,38233278956.681,44365671088.179,43552758696.8095,47164867556.762,56846963640.2578,64044988615.0703
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815772839.772618,861719293.009034,891567496.524612,960893576.196487,1046928752.30997,1022283147.2091,1109755319.87698,1190656378.37286,1261003540.51602,1326263932.7515,1440444753.98455,1405891559.46117,1442405131.36974,1560266762.817,1694619704.8917,1860901865.31265,2162065452.27535,2427501479.31752,2473925828.10563,2191404225.16433,2044132502.10093,2045440278.58455,1952648600.45812,1916216985.6644,1923838903.52097,1876640003.00599,1918292905.20981,1933329160.6749,2229888663.55951,2424227725.41686,2053379780.08534,2376444043.97534,2785845311.25261,2998900564.87573
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296606970753.033,308266971083.155,319047690834.948,338869775496.037,359145644518.848,378798712906.686,403354058864.168,426032065769.344,453620247395.633,479437912024.365,505056094140.601,532864799310.005,565994508002.305,594024458977.883,633138917180.184,666573991108.909,712648996565.745,763412360149.174,797546165740.298,874442486513.615,867492050866.474,938849887363.241,974506449193.729,1062414874202.12,1101347411236.85,1102492313517.56,1143970717633.14,1190737658818.33,1254437048890.68,1336328929938.81,1386702982120.14,1474501352807.93,1700455865579.78,1841115986451.28
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149404706482.955,159773121507.843,166835396785.79,171689657416.525,179568160706.732,188224858944.927,195409996114.085,202563723869.671,212779576709.256,220639956878.73,235377744475.237,238949262917.233,251984858807.042,261071387955.893,276006414191.398,288086851811.747,311412915828.518,327170721478.926,343812802543.0,341383077572.189,351281009003.533,373031463577.163,391635006784.26,406370494341.228,417059741085.658,430975998137.236,460282766423.271,476590426691.819,503361092130.55,537897842704.908,522624838947.364,567987424821.541,641751890596.523,673525599682.749
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37697986656.8393,38700051344.5089,30636443990.1369,24117860742.4637,19780158108.16,17811889990.1539,18373777440.3273,19774679869.8678,21996612691.6266,23958670222.9908,27221033931.4592,30589529923.5798,33997078501.9983,38207330439.9464,42865465862.2686,56571147315.7127,78434628789.5518,100699531913.494,113682704470.685,125017418782.776,132925508555.633,135803575412.212,148678132524.431,162604723251.662,167470430285.624,145466446321.068,141837623390.756,141069643128.845,151909515454.014,167158106107.001,153047750160.236,203884098954.124,228529198552.031,239521312200.162
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341974403.02142,3627634055.3202,3747776546.97462,3597206497.24946,3533299257.66495,3321676918.57887,3111889882.25909,3115220514.17219,3299867398.33498,3312763465.89914,3358775149.09137,3505009079.18927,3717749557.01054,3744756275.12495,4031332237.06098,4195152422.86947,4558645467.63216,4843776399.54779,5177129800.81857,5407669583.86029,5753853444.29012,6109378663.94635,6434109700.67511,7175647231.46992,7822936123.43009,8809630118.7088,8676714933.88405,8759744160.76216,8935565006.18917,9549333185.98183,9923498550.19194,10847771568.5348,11826263768.8114,12588278518.6641
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186143914588.878,195966424619.526,203500309947.015,206320181481.636,217526046011.997,227383463991.073,230928998259.576,241579537994.353,248634626792.289,260168701709.78,284862666666.667,296218031614.831,312900377877.018,320981343828.761,334143156430.084,347658412088.972,371910293569.293,391020785776.548,405729462246.522,407550330241.668,434005882514.638,451932718764.387,469720618339.766,487343797679.386,503619406808.679,520878052195.13,550677647305.861,573788797293.568,600269569562.906,650523760858.458,643057395991.149,719771061038.585,797839609698.796,832972050437.144
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6264447109.86936,6749974293.45344,7107990708.88908,7701140674.42056,8024491427.01441,8688007423.68191,9229636576.92663,9927215097.872,10436421095.0217,11149451393.9423,12069905284.8895,12999880781.1942,13814866444.8325,14572733236.1568,15627491674.9831,16393603609.0928,17565614139.3444,19121539964.2497,20444297274.4932,21047481282.8289,21753633405.0918,22860459982.9645,24393778410.0812,26896876069.4006,29454694903.9928,30961687093.8936,33245555033.1574,34745526935.4768,36720416644.3096,40076293090.6914,42407309934.6404,46467947984.7692,52850117786.5139,58256355529.4937
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192843276.95096,5855373513.6014,6002745550.313,6357733266.02068,6578873266.20086,7100769815.48998,8027218788.94058,8681454235.5311,9420568438.31805,10260410775.8459,10690983443.738,11654669659.0662,12350989938.8627,13577548763.8889,14567076341.503,16325164677.5876,17880926557.0517,19120436925.8023,20619182898.8053,21360854972.7248,23446574734.1104,25515102554.621,26992067760.1929,29071648205.4878,30284926912.3411,31763609326.839,36383537964.2514,40632395597.0095,42375183591.2275,46790489887.5201,51134807589.6146,54538752729.7151,59416766875.4815,63405458216.3658
